vehicle_id,priority_rank,mark,model,generation,restyling,body_type,year_from,year_to,origin_category,vehicle_type_category,ads_count,avg_price_inflation_adj,avg_age,score_origin,score_type,score_ads,score_price,score_age,priority_score,has_real_metrics,ready_for_3d_search,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,dimensions_source_url,model_3d_status,model_3d_source,model_file_path,format,scale_check_status,materials_editable,data_quality_note
toyota_corolla_g4_r2_universal,75,toyota,Corolla,4,2,универсал,1985,1987,локализованные,легковые,255977.0,497347.80917285546,40.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6342592592592593,0.6721926743740887,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r0_xetchbek 3 dv,76,toyota,Corolla,5,0,хэтчбек 3 дв.,1983,1987,локализованные,легковые,255977.0,497347.80917285546,41.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.625,0.6712667484481628,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r0_kupe,77,toyota,Corolla,5,0,купе,1983,1987,локализованные,легковые,255977.0,497347.80917285546,41.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.625,0.6712667484481628,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r0_xetchbek 5 dv,78,toyota,Corolla,5,0,хэтчбек 5 дв.,1983,1987,локализованные,легковые,255977.0,497347.80917285546,41.625,0.6,1.0,0.9125446955356156,0.00420383042839267,0.619212962962963,0.6706880447444591,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g5_r0_sedan,79,toyota,Corolla,5,0,седан,1983,1987,локализованные,легковые,255977.0,497347.80917285546,41.8421052631579,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6172027290448343,0.6704870213526463,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g4_r1_universal,80,toyota,Corolla,4,1,универсал,1982,1985,локализованные,легковые,255977.0,497347.80917285546,42.611111111111114,0.6,1.0,0.9125446955356156,0.00420383042839267,0.6100823045267489,0.6697749789008377,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g4_r1_sedan,81,toyota,Corolla,4,1,седан,1981,1983,локализованные,легковые,255977.0,497347.80917285546,43.96296296296296,0.6,1.0,0.9125446955356156,0.00420383042839267,0.5975651577503429,0.6685232642231971,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g4_r0_otkrytyi kuzov,82,toyota,Corolla,4,0,открытый кузов,1981,1983,локализованные,легковые,255977.0,497347.80917285546,44.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.5972222222222222,0.668488970670385,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g4_r1_kupe,83,toyota,Corolla,4,1,купе,1981,1983,локализованные,легковые,255977.0,497347.80917285546,44.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.5972222222222222,0.668488970670385,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g4_r1_xetchbek 3 dv,84,toyota,Corolla,4,1,хэтчбек 3 дв.,1981,1983,локализованные,легковые,255977.0,497347.80917285546,44.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.5972222222222222,0.668488970670385,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
